Kod_okresu;Kod_obce;Okres;Nazev;Zkratka;Ulice;Souradnice;PSC;Typ
CZ0323;554791;Plzeò-mìsto;Lochotín;LOC;Lidická 27;49.766152, 13.372137;305 33;RLP
CZ0323;554791;Plzeò-mìsto;Bory;BOR;Klatovská tø. 2960/200i;49.726243, 13.365348;301 00;RLP, RZP
CZ0323;554791;Plzeò-mìsto;Koterov;KOT;U Seøadištì 196;49.719649, 13.416355;326 00;RZP
CZ0323;554791;Plzeò-mìsto;Doubravka;CEN;Ke Sv. Jiøí 2;49.759026, 13.422456;312 00;RZP
CZ0325;559075;Plzeò-sever;Kralovice;KRA;Manìtínská 493;49.980608, 13.479242;331 41;RLP, RZP
CZ0325;559202;Plzeò-sever;Manìtín;MAN;Manìtín 150;49.992410, 13.235398;331 62;RZP
CZ0324;558389;Plzeò-jih;Stod;STO;Hradecká 783;49.636912, 13.155805;333 01;RLP
CZ0322;558249;Klatovy;DZS Pøeštice;PRE;Sedláèkova 553;49.573283, 13.325160;334 01;RLP
CZ0324;557587;Plzeò-jih;Vlèice;VLC;Vlèice 66;49.734212, 16.902964;336 01;RLP, RZP
CZ0324;558109;Plzeò-jih;Nepomuk;NEP;Budìjovická 430;49.482616, 13.578702;335 01;RLP
CZ0324;559164;Plzeò-jih;LZS Línì;LID;VU 4128 Línì;49.675841, 13.266440;304 50;RZP
CZ0326;559717;Rokycany;Rokycany;RO;Stehlíkova 131;49.732050, 13.598311;337 01;RLP, RZP
CZ0326;560120;Rokycany;Radnice;RAD;Nam. K. Šternberka 242;49.856786, 13.606232;338 28;RZP
CZ0321;553425;Domažlice;Domažlice;DO;U Nemocnice 307;49.440305, 12.923477;344 01;RLP
CZ0321;553441;Domažlice;Bìlá nad Radbuzou;BEL;Èeèinská 12;49.591247, 12.718318;345 26;RZP
CZ0327;560758;Tachov;Bor;;Požární 718;49.714182, 12.775631;348 02;RZP
CZ0327;560715;Tachov;Tachov;TC;Sokolovská 1922;49.806019, 12.641714;347 01;RLP, RZP
CZ0327;561134;Tachov;Planá u M. Lázní;PLA;Bezdružická 274;49.869159, 12.748641;348 01;RZP
CZ0327;561215;Tachov;Støíbro;STR;Forstova 1595;49.753012, 12.984391;349 01;RLP
CZ0327;560952;Tachov;Konstantinovy láznì;KON;Plzeòská 51;49.882104, 12.974941;349 52;RZP
CZ0322;555771;Klatovy;Klatovy;KT;Pod Nemocnicí 790/II;49.402622, 13.290873;339 01;RLP, RZP
CZ0322;556831;Klatovy;Nýrsko;NY;Petra Bezruèe 158;49.293545, 13.141295;340 22;RZP
CZ0322;557528;Klatovy;Železná Ruda;ZEL;Královácká 471;49.139720, 13.228399;340 04;RZP
CZ0322;557153;Klatovy;Sušice;SU;Nová 252;49.242623, 13.536175;342 01;RLP, RZP
CZ0322;542148;Klatovy;Modrava;MOD;Modrava 35;49.023675, 13.498487;341 92;RZP
CZ0322;556254;Klatovy;Horažïovice;HD;Blatenská 311;49.322071, 13.705803;341 01;RZP
